Name,Reactions,Comments,Reposts,Content,Date
Montague Law PLLC,0,,,"Are you interested in how copyright law applies to emerging artificial intelligence tools like#ChatGPT,#DALL-E, and#MidJourney? Check out this Congressional Research Report for a good look at the implications of artificial intelligence and copyright.#AI#Copyright#Innovation#ArtificialIntelligencehttps://lnkd.in/esTu_ifF",1 minute ago
Will Montague,0,,,"Are you interested in how copyright law applies to emerging artificial intelligence tools like#ChatGPT,#DALL-E, and#MidJourney? Check out this Congressional Research Report for a good look at the implications of artificial intelligence and copyright.#AI#Copyright#Innovation#ArtificialIntelligencehttps://lnkd.in/ecRCFYKY",1 minute ago
AdTribe,0,,,"We asked our designer Semi which programs and tools help him in his work.Here are his top 5:📍Adobe Premiere Pro - a professional video editing software. It helps to design creatives for social media and beyond.📍Adobe After Effects - enables the creation of animations, object removal from videos, 3D design, and much more.📍Adobe Photoshop - design of creatives, editing, and more.📍Midjourney Neural Networks - creates artwork based on styles from previous inputs with the use of AI.📍Enhance Speech from Adobe - makes voice recordings sound like they were recorded in a professional studio.What are your favorite programs and tools for design work? Let us know in the comments below! 👇#designertools#graphicdesign#creativetools#adobepremierepro#adobeaftereffects#adobephotoshop#neuralnetworks#artificialintelligence#designcommunity",2 minutes ago
Daniel Ayomide,0,,,#animation#illustration#illustrationart#illustrationartists#midjourneyart#midjourney#midjourneyai#fiverr#fiverrgigpromotion,2 minutes ago
Rodrigue Kongne Mousob,0,,,AI in Architecture.Some organic shape design inspired by the nature.#architecture#architecturedesign#midjourney#midjourneyai#midjourneyart##design#ai#ideas#dubai#modulardesign#home#tinyhouse#nature#inspiration#desert#desertlife#africanbusiness#africanbusiness#sky#sand#render,3 minutes ago
Vincent Callebaut,4,,,"TIMBER TWINGO, Reinventing Twingo forRenault, Engineered Wood Concept Car designed byVincent CallebautArchitecturesLess but better. For the 30th anniversary of the Renault Twingo city car, we propose to lighten its weight and its ecological footprint by using natural plant fibers and timber-based materials for both its structure and its interior design.Since the beginnings of the automobile, wooden cars have been built. The tradition obviously comes from horse-drawn carriages whose construction mainly used this material. And the name bodywork derives from the carriages.Now, in our cities, it is the end of heavy steel SUVs, giving way to electric or biofuels based, lightweight, agile, and go-anywhere car like Twingo.Environmental and social issues are putting increasing pressure on automakers to reduce greenhouse gas emissions and minimize urban smog. As such, beyond the mix of energy used (electricity, biofuels, hydrogen fuel), vehicle weight is one of the main characteristics affecting the amount of CO2 emissions. Therefore, it is imperative to turn to the weight of the materials used to improve this characteristic of the vehicles.Many lightweight materials such as aluminum, magnesium and some recycled plastics are increasingly being used alongside steel. But what about plant fibers and engineered wood?CLT (Cross Laminated Timber) consists of superimposing perpendicularly thin wooden slats and connecting them together using structural, now-organic adhesives such as tannins, lignin, cellulose, or even starch. The Cross Laminated Timber manufacturing process requires much less energy than steel and allows a global weight reduction of 60%. In terms of fire resistance, remember that wood burns slowly, does not release toxic fumes, and transmits heat 250 times slower than melting steel.Both electric or hydrogen-powered, automated, and made mostly of cellulose fiber (coming from agricultural wastes) and structural engineered wood, as CLT (made with compressed Spruce, Southern Yellow Pine, and Douglas cultivated in eco-responsible PEFC forest), our prototype and its sustainable life-cycle could become the greenest concept car yet to be adopted by the entire automobile industry.In the constant search for innovation and at the heart of our ecological commitment, the poetry of natural wood marries technology to fully express the true essence of wood by bringing together beauty, industrial production, robustness, and comfort in this Timber Car.#ReinventTwingo#Twingo30#Renault#sustainable#mobility#transport#timber#wood#recycle#plantbased#lightweight#hydrogen#electric#vehicle#car#automotive#conceptcar#cardesign#ai#midjourney#stablediffusion#dalle2#ecology#architecture#design#lessismore#energy#interiordesign#technology#zerowaste#circulareconomy#vincentcallebaut#vincentcallebautarchitectures#beauty",4 minutes ago
Roméo Bancel,325,49 comments,33 reposts,I’ve used Midjourney obsessively for 8 months nowHere are all my learnings condensed in a free guideThe Guide Includes:→ Every Technical Prompts→ Detailed explanations→ Concrete Examples+ A setup tutorial for beginners at the endMost people don’t know how AI prompts workThis should get you ahead of 90% of the usersEnjoy!,
Bad Crypto Podcast,0,,,"✨NEW EPISODE✨ of the Bad AI Show out NOW! Learn how to use MidJourney, an artificial intelligence tool for image and artwork creation. Watch hereaishow.io/03#artificialintelligence#digitalart#podcast#ai",6 minutes ago
Ivan Nugroho,0,,,"Today#GoogleCloudannounced new partnerships, programs and resources covering every layer of the#AIstack. Our approach is open, enabling organizations to more easily access and innovate with#generativeAI",6 minutes ago
Alexander Willbränder,0,,,"#GoodNews> Bio Computing – die Zukunft des Rechnens? > Biologisches Rechnen (oder Biocomputing) könnte schneller, effizienter und leistungsfähiger sein als Silizium-basiertes Rechnen und künstliche Intelligenz und nur einen Bruchteil der Energie benötigen.Die ""organoide Intelligenz"" (OI) beschreibt ein neu entstehendes multidisziplinäres Gebiet, das an der Entwicklung des biologischen Rechnens unter Verwendung von 3D-Kulturen menschlicher Gehirnzellen (Hirnorganoide) und Technologien für Gehirn-Maschine-Schnittstellen arbeitet.Die OI erfordert die Vergrößerung der derzeitigen Hirnorganoide zu komplexen, dauerhaften 3D-Strukturen, die mit Zellen und Genen angereichert sind, die mit dem Lernen in Verbindung stehen und die Verbindung dieser Strukturen mit Eingabe- und Ausgabegeräten der nächsten Generation sowie mit KI- und maschinellen Lernsystemen.Die künstliche Intelligenz erfordert neue Modelle, Algorithmen und Schnittstellentechnologien, um mit Hirnorganoiden zu kommunizieren, zu verstehen, wie sie lernen und rechnen, und die riesigen Datenmengen, die sie erzeugen, zu verarbeiten und zu speichern.Die OI-Forschung könnte auch unser Verständnis der Entwicklung des Gehirns, des Lernens und des Gedächtnisses verbessern und möglicherweise dazu beitragen, Behandlungen für neurologische Störungen wie Demenz zu finden.Illustration:#awillbraender#GenImage#MidJourney#BioComputer#BioRechner#Hirnorganoide#KI#Kybernetik#OrganoideIntelligenzQuelle / Weiterlesen >https://lnkd.in/eHaRRstX",7 minutes ago
Cristian Ferme,0,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",7 minutes ago
DIYPhotography,0,,,Wave weird hands bye bye and say hello to Midjourney Version 5,7 minutes ago
Maxim Poulsen,7,4 comments,,"What does it take to become an expert?Hint: it’s not 10,000 hours.This theory was popularized by Malcolm Gladwell in the 2000s, based on the research of Anders Ericsson.Ericsson didn’t like Gladwell’s theory, and called it:→ ""An incorrect interpretation of his research""→ ""A provocative generalization""→ ""An oversimplification""10,000 hours was the average number of hours that promising 20-year-old violinists had practiced.The number was chosen because it’s catchy and easy.---So, if not the hours? What should we strive for?There are 4 more conditions:1. Many repetitions + feedback→ Developers write 100s of lines of code→ Content creators write 100s of posts→ Sales do 100s of discovery callsEach one gets feedback:→ Developers see if their code runs or not→ Content creators see if they get reach→ Sales see if they convertWithout repetition + feedback:You’re at best random.2. Valid environmentRegularities make outcomes predictable.You wouldn’t call a gambler a professional.Even if they have 10 000 hours of roulette.Because a roulette wheel is random.Stocks are another example of low validity.S&P 500 has better returns than 90% of funds.Why?Low validity.3. Timely feedbackImmediate vs Delayed feedback.Recruitment is a great example here:→ Startups with smaller team get faster feedback.→ Big companies might never even get feedback.This makes it hard to recognize patterns.Probably one of the explanations of Price’s Law.(More on that in another post)4. Deliberate practiceRemember when you were learning to drive?At first it was challenging, and required thought.But a few weeks into it, muscle memory kicks in.The same goes if you’re:→ Playing the same song→ Reading the same books→ Doing the same exercicesTo learn, push beyond your comfort zone.Studies show that in certain domains,Domains where these 4 don’t exist,It’s impossible to become an expert.So be wary of experts that aren’t ones.What are you becoming an expert at? ✌️Image: Midjourney#growth#10000hours#expert",9 minutes ago
Anil Verma,0,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",10 minutes ago
Shubhie Goswamy,0,,,"The fashion industry is often associated with glitz and glamour, with the final product taking center stage, but the story behind the making of each garment is a stark contrast. This photography series aims to bridge that gap by showcasing the people and the conditions behind garment manufacturing, while also highlighting the waste generated by the industry.I chose to highlight Nike because its long time use of sweatshops, dating back to the 1970s. Their cultural significance, popularity, and the graphic logo visible on all their products, make them instantly recognisable and thus a perfect example. While Nike has changed it’s policies, it’s years of exploitative labour practises left a blueprint for many other companies to follow, built on finding the lowest cost of labor possible, outsourcing their labor overseas in countries with the lowest wages and terrible working conditions, which led to child labor and exploitation. These practices are still used by a lot of fast fashion brands, in an attempt to keep costs down, at the expense of their labour.Let's never forget the stark contrast between consumer and labour.All AI Images have been generated using Midjourney on Discord. You can view the full project on my website :https://lnkd.in/dund-N9m#ai#photography#fashionindustry#manufacturing#socialchange#fastfashion#waste#aiart#aiartcommunity#midjourney#midjourneyart#discord#photoseries#photojournalism#fashion#editorialphotography",10 minutes ago
